The Use of Commodities by Industries - Summary
The Use of Commodities by Industries - Summary

,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,T001,F010,F02S,F02E,F02N,F02R,F030,F040,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,T019
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Change in private inventories,Exports of goods and services,National defense: Consumption expenditures,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Nondefense: Consumption expenditures,Federal nondefense: Gross investment in structures,Federal nondefense: Gross investment in equipment,Federal nondefense: Gross investment in intellectual property products,State and local government consumption expenditures,State and local: Gross investment in structures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,Total use of products
111CA,Farms,144746,163,---,38,18,---,3493,---,---,---,---,---,---,---,---,---,---,125,377534,1082,---,---,---,---,16315,---,1174,410,1121,242,206,---,---,---,---,---,---,62,---,0,---,---,---,0,0,---,---,0,2,---,1,0,1174,45,1560,---,331,0,0,0,0,---,483,80,8441,14,69,110,0,6851,---,565889,247082,---,---,---,---,281,70632,---,---,---,---,---,---,---,---,---,---,---,---,883884
113FF,"Forestry, fishing, and related activities",31647,9457,---,139,---,---,---,23738,1,---,---,---,---,0,0,---,137,339,8379,---,118,4922,37,0,512,2313,---,---,566,---,0,---,---,0,---,---,---,2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,246,27,6,---,45,---,0,0,---,---,376,357,7388,100,---,19,15,6456,---,97341,13841,---,---,---,---,464,6751,---,---,---,---,---,---,---,---,---,---,---,---,118398
211,Oil and gas extraction,---,---,38396,19,71,31670,---,28,9,14,8,0,---,---,1,---,---,---,25,---,---,15,5,397943,14632,26,78,47,13,11,127,---,---,---,---,---,74,---,604,407,32,42,205,---,---,---,---,---,187,---,---,7,106,19,24,88,1654,705,15,30,41,35,252,44,30,196,---,0,1172,---,27057,516161,---,---,---,---,---,-951,145749,---,---,---,---,---,---,---,---,---,---,---,---,660959
212,"Mining, except oil and gas",1984,0,90,11728,154,7755,34975,11,17329,16593,582,104,5,93,92,109,17,155,1530,33,0,1586,---,2818,6299,140,27,0,---,---,3,---,127,0,8,0,---,1,2,21,18,203,1833,0,0,0,---,8,0,0,0,0,1800,41,1311,78,831,---,33,51,293,539,1075,180,1225,1703,---,4660,---,3221,8432,131907,388,---,379,---,---,-340,29088,---,---,---,---,---,---,---,---,---,---,---,---,161422
213,Support activities for mining,---,---,24547,2335,2454,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,31,4,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,29371,---,96938,3314,---,---,-15,2129,---,---,---,---,---,---,---,---,---,---,---,---,131737
22,Utilities,12109,61,8400,3724,357,33647,14763,2150,5399,6601,5448,2341,1278,1515,3374,2973,714,784,11575,737,229,6628,1210,2494,14190,5389,15680,6294,8884,5778,17209,2596,80,199,6664,842,2310,1412,3100,1234,636,9490,7643,5129,2209,823,3179,149,43660,2430,776,1346,7734,5089,4848,2493,7941,6756,10533,4786,2016,1871,4866,6427,28689,10635,6047,1253,2926,39495,6477,458724,370340,---,---,---,---,---,5053,---,---,---,---,---,---,---,---,---,---,---,---,834117
23,Construction,2130,30,381,3874,1708,4965,620,496,1340,1577,1721,878,474,328,917,497,165,318,2883,106,4,1348,331,5369,2142,994,5562,2578,1321,2032,5189,445,2990,63,683,815,2718,1070,927,597,119,3261,2272,7530,2735,1319,218,85174,58125,1870,227,116,3399,1104,1221,253,2327,1158,3442,866,1007,417,969,3067,4426,7576,13203,838,628,48481,77058,396989,---,797005,---,---,965104,---,127,---,17092,---,---,---,20235,---,---,---,458026,---,---,2654577
321,Wood products,1220,70,---,425,216,9,105452,42622,368,628,266,988,517,1056,3979,242,8831,1412,579,68,1,5636,2,0,337,2583,11733,366,1034,211,2172,---,4992,---,357,---,6,93,138,56,91,870,2059,219,9,0,---,41,10183,1153,14,38,1145,7,1395,46,85,780,785,7,1070,14,382,1499,1810,661,59,112,2,6187,579,229966,9311,608,---,---,18762,1460,6228,---,---,---,---,---,---,19,---,---,---,---,---,266356
327,Nonmetallic mineral products,26,109,2289,743,984,42,155061,1295,27523,4072,2045,1769,313,2343,9081,360,381,951,5001,46,---,540,1,1299,2064,2647,132,396,53,466,1020,---,20,---,180,0,0,16,71,3,2,2340,1005,35,60,80,---,147,68,1474,0,262,6960,36,1280,376,135,4064,4078,218,905,16,238,128,3953,2671,162,990,---,3038,5684,263746,29619,---,---,---,---,1227,12028,---,---,---,---,---,---,---,---,---,---,---,---,306620
331,Primary metals,99,---,10134,771,286,4,10333,369,2828,97471,113570,44259,4191,30765,60399,7615,4552,5814,2571,138,---,1566,25,14,38,2278,749,9,---,0,723,---,813,---,---,---,---,124,---,14,9,397,1397,---,---,0,---,2,3955,194,---,0,1987,45,904,362,409,252,47,23,460,38,594,43,275,1005,707,1363,---,164,1174,418331,3947,---,---,---,---,-502,39960,---,---,---,---,---,---,---,---,---,---,---,---,461735
332,Fabricated metal products,1995,217,14854,1339,758,1293,194169,4740,3221,7005,52490,27516,7912,18392,32491,15350,5993,4609,22978,509,62,6535,1049,569,9646,9692,4484,645,365,231,3069,339,401,1804,2221,816,2334,470,1094,881,48,11513,3739,459,369,0,37,38,1975,3762,33,3697,8837,679,4255,4791,635,638,2865,48,4390,94,1122,2720,6062,7823,13122,2207,216,6848,11776,569335,99248,---,19742,---,---,2641,53268,---,---,93,---,---,---,76,---,---,---,113,---,744516
333,Machinery,4018,37,16801,5816,4335,933,73186,801,244,2278,6981,43504,401,3428,44654,3938,207,657,7957,39,2,1243,1815,72,7115,3943,3234,385,161,107,967,22,77,54,638,96,85,4004,1769,80,32,1314,1961,7,54,483,---,89,332,2220,21,3153,4101,525,7828,6349,2881,1892,1181,219,344,31,452,105,1288,10730,3303,777,44,8710,4822,311329,50220,---,433823,---,---,1499,146544,---,---,2504,---,---,---,67,---,---,---,12648,---,958632
334,Computer and electronic products,41,1,109,33,97,125,12961,1802,1004,2232,7804,7866,46573,5818,30150,23853,1216,2126,4032,419,13,1063,1309,207,5910,2990,65653,2107,602,535,3085,8,65,1,333,2,8,87,160,3571,691,37994,11504,1928,3505,27,1883,1,686,379,2711,8326,16370,27799,8015,1097,1620,14250,1936,275,826,45,320,462,356,5120,32765,9464,0,4395,3002,433721,234643,---,336423,---,491,1609,145433,---,---,21772,---,---,---,1508,---,---,---,4231,---,1179832
335,"Electrical equipment, appliances, and components",5671,53,236,49,540,23,88844,679,198,2268,4938,21811,2991,16701,16377,1730,156,961,2405,65,4,784,136,92,1560,1254,7850,739,148,598,512,3,296,31,204,231,5,51,224,9,---,4843,512,218,148,115,---,10,1249,872,0,4137,8374,182,2797,1939,498,39,1359,866,1661,57,1194,926,1154,7323,5930,7027,99,2604,7063,244624,172695,---,72063,---,16069,402,50869,---,---,836,---,---,---,74,---,---,---,780,---,558412
3361MV,"Motor vehicles, bodies and trailers, and parts",1487,77,1897,1190,489,49,4685,3524,1057,1403,2466,15807,1337,1182,265581,4316,710,1025,7796,100,3,2151,249,133,1971,995,11836,9822,2984,565,9091,---,88,---,10708,1239,1,182,1872,321,135,1261,1005,193,46,---,---,---,---,5846,---,173,5405,809,26016,2350,2147,1340,3196,243,3581,249,299,301,2527,23319,14790,345,3753,15942,2987,488647,484922,---,405803,---,---,17643,128178,---,---,42349,---,---,---,20292,---,---,---,63409,---,1651244
3364OT,Other transportation equipment,---,1,---,1,---,---,8,22,---,---,90,392,---,---,946,87166,---,---,---,---,---,---,---,---,---,---,0,0,---,---,---,1679,1445,1390,28,219,---,2641,---,---,---,7,---,---,---,---,---,---,---,---,---,---,2101,57,99,109,---,---,---,---,0,---,128,---,---,0,52232,1493,6,0,193,152452,61278,---,74783,---,---,6353,120816,---,---,39904,---,---,---,3085,---,---,---,275,---,458945
