ticker,report_date,realized_return_5d,simulated_return_hold,benchmark_return_hold,champion_score,champion_selected,challenger_score,challenger_selected
ACN,2025-06-30,0.0149,0.0608,0.0227,0.2883,false,0.2590,false
ACN,2025-09-30,0.0188,0.0772,0.0186,0.2883,false,0.2590,false
ACN,2025-12-31,0.0504,0.2173,-0.0102,0.2883,false,0.2590,false
ADBE,2025-06-30,-0.0120,-0.0471,0.0227,0.2794,false,0.2278,false
ADBE,2025-09-30,-0.0126,-0.0494,0.0186,0.2794,false,0.2278,false
ADBE,2025-12-31,-0.0313,-0.1194,-0.0102,0.2794,false,0.2278,false
ADP,2025-03-31,-0.0796,-0.2823,-0.0764,0.3276,false,0.3730,false
ADP,2025-06-30,-0.0049,-0.0193,0.0227,0.3276,false,0.3730,false
ADP,2025-09-30,-0.0019,-0.0076,0.0186,0.3276,false,0.3730,false
ADP,2025-12-31,0.0328,0.1378,-0.0102,0.3276,false,0.3730,false
ANET,2023-02-13,0.0500,0.2155,-0.0147,0.3153,false,0.2440,false
ANET,2023-05-01,0.0300,0.1255,0.0480,0.3153,false,0.2440,false
ANET,2023-07-31,0.0200,0.0824,-0.0516,0.3153,false,0.2440,false
ANET,2023-11-06,0.0400,0.1699,0.0541,0.3153,false,0.2440,false
ANET,2024-02-12,0.0300,0.1255,0.0199,0.3153,false,0.2440,false
ANET,2024-05-07,0.0200,0.0824,0.0440,0.3153,false,0.2440,false
ANET,2024-07-30,0.0100,0.0406,0.0519,0.3153,false,0.2440,false
ANET,2024-11-05,0.0300,0.1255,0.0292,0.3153,false,0.2440,false
ANET,2025-02-11,0.0200,0.0824,-0.0586,0.3153,false,0.2440,false
ANET,2025-05-07,0.0100,0.0406,0.0785,0.3153,false,0.2440,false
ANET,2025-08-05,-0.0100,-0.0394,0.0179,0.3153,false,0.2440,false
ANET,2025-11-04,0.0200,0.0824,-0.0228,0.3153,false,0.2440,false
AOS,2025-03-31,-0.0722,-0.2590,-0.0764,0.2931,false,0.2385,false
AOS,2025-06-30,0.0441,0.1883,0.0227,0.2931,false,0.2385,false
AOS,2025-09-30,-0.0274,-0.1051,0.0186,0.2931,false,0.2385,false
AOS,2025-12-31,0.0526,0.2277,-0.0102,0.2931,false,0.2385,false
APH,2025-03-31,-0.0715,-0.2568,-0.0764,0.2249,false,0.2436,false
APH,2025-06-30,-0.0136,-0.0532,0.0227,0.2249,false,0.2436,false
APH,2025-09-30,0.0063,0.0255,0.0186,0.2249,false,0.2436,false
APH,2025-12-31,0.0082,0.0333,-0.0102,0.2249,false,0.2436,false
APP,2023-03-01,0.0700,0.3108,0.0674,0.4073,false,0.3128,false
APP,2023-05-10,0.0500,0.2155,0.0764,0.4073,false,0.3128,false
APP,2023-08-09,0.0400,0.1699,0.0186,0.4073,false,0.3128,false
APP,2023-11-08,0.0900,0.4116,0.0463,0.4073,false,0.3128,false
APP,2024-02-14,0.0800,0.3605,0.0065,0.4073,false,0.3128,false
APP,2024-05-08,0.0600,0.2625,0.0446,0.4073,false,0.3128,false
APP,2024-08-07,0.0200,0.0824,0.0966,0.4073,false,0.3128,false
APP,2024-11-06,0.0700,0.3108,0.0074,0.4073,false,0.3128,false
APP,2025-02-12,0.0500,0.2155,-0.0620,0.4073,false,0.3128,false
APP,2025-05-07,0.0400,0.1699,0.0785,0.4073,false,0.3128,false
APP,2025-08-06,0.0100,0.0406,0.0093,0.4073,false,0.3128,false
APP,2025-11-05,0.0500,0.2155,-0.0231,0.4073,false,0.3128,false
APTV,2025-03-31,-0.1264,-0.4175,-0.0764,0.1586,false,0.1748,false
APTV,2025-06-30,0.0475,0.2039,0.0227,0.1586,false,0.1748,false
APTV,2025-09-30,-0.0111,-0.0438,0.0186,0.1586,false,0.1748,false
APTV,2025-12-31,0.1362,0.6663,-0.0102,0.1586,false,0.1748,false
AVGO,2023-03-02,0.0400,0.1699,0.0442,0.1131,false,0.0867,false
AVGO,2023-06-01,0.0300,0.1255,0.0295,0.1131,false,0.0867,false
AVGO,2023-09-01,0.0100,0.0406,-0.0509,0.1131,false,0.0867,false
AVGO,2023-12-07,0.0500,0.2155,0.0566,0.1131,false,0.0867,false
AVGO,2024-03-07,0.0300,0.1255,-0.0001,0.1131,false,0.0867,false
