ticker,report_date,realized_return_5d,simulated_return_hold,benchmark_return_hold,champion_score,champion_selected,alpha_v1_regime_tilt_score,alpha_v1_regime_tilt_selected,alpha_v1_quality_heavy_score,alpha_v1_quality_heavy_selected
ACN,2025-08-04,-0.0779,-0.2772,0.0110,0.1588,false,0.1256,false,0.2006,false
ACN,2025-11-04,-0.0014,-0.0056,-0.0228,0.1588,false,0.1256,false,0.2006,false
ACN,2026-02-04,-0.0464,-0.1732,0.0035,0.1588,false,0.1256,false,0.2006,false
ADBE,2025-08-04,-0.0153,-0.0600,0.0110,0.2249,false,0.2030,false,0.2615,false
ADBE,2025-11-04,-0.0064,-0.0252,-0.0228,0.2249,false,0.2030,false,0.2615,false
ADBE,2026-02-04,-0.0806,-0.2855,0.0035,0.2249,false,0.2030,false,0.2615,false
ADP,2025-05-05,0.0178,0.0733,0.0726,0.0774,false,0.0578,false,0.0909,false
ADP,2025-08-04,0.0048,0.0195,0.0110,0.0774,false,0.0578,false,0.0909,false
ADP,2025-11-04,-0.0155,-0.0606,-0.0228,0.0774,false,0.0578,false,0.0909,false
ADP,2026-02-04,-0.0729,-0.2611,0.0035,0.0774,false,0.0578,false,0.0909,false
AMAT,2025-08-04,0.0085,0.0346,0.0110,0.1818,false,0.0926,false,0.2068,false
AMAT,2025-11-04,-0.0066,-0.0262,-0.0228,0.1818,false,0.0926,false,0.2068,false
AMAT,2026-02-04,0.1421,0.7013,0.0035,0.1818,false,0.0926,false,0.2068,false
ANET,2023-02-13,0.0500,0.2155,-0.0147,0.2209,false,0.1603,false,0.2445,false
ANET,2023-05-01,0.0300,0.1255,0.0480,0.2209,false,0.1603,false,0.2445,false
ANET,2023-07-31,0.0200,0.0824,-0.0516,0.2209,false,0.1603,false,0.2445,false
ANET,2023-11-06,0.0400,0.1699,0.0541,0.2209,false,0.1603,false,0.2445,false
ANET,2024-02-12,0.0300,0.1255,0.0199,0.2209,false,0.1603,false,0.2445,false
ANET,2024-05-07,0.0200,0.0824,0.0440,0.2209,false,0.1603,false,0.2445,false
ANET,2024-07-30,0.0100,0.0406,0.0519,0.2209,false,0.1603,false,0.2445,false
ANET,2024-11-05,0.0300,0.1255,0.0292,0.2209,false,0.1603,false,0.2445,false
ANET,2025-02-11,0.0200,0.0824,-0.0586,0.2209,false,0.1603,false,0.2445,false
ANET,2025-05-07,0.0100,0.0406,0.0785,0.2209,false,0.1603,false,0.2445,false
ANET,2025-08-05,-0.0100,-0.0394,0.0179,0.2209,false,0.1603,false,0.2445,false
ANET,2025-11-04,0.0200,0.0824,-0.0228,0.2209,false,0.1603,false,0.2445,false
AOS,2025-05-05,0.0310,0.1300,0.0726,0.2072,false,0.1561,false,0.2605,false
AOS,2025-08-04,0.0027,0.0108,0.0110,0.2072,false,0.1561,false,0.2605,false
AOS,2025-11-04,0.0098,0.0399,-0.0228,0.2072,false,0.1561,false,0.2605,false
AOS,2026-02-04,0.0236,0.0978,0.0035,0.2072,false,0.1561,false,0.2605,false
APH,2025-05-05,0.0535,0.2318,0.0726,0.0252,false,-0.0391,false,0.0229,false
APH,2025-08-04,0.0109,0.0442,0.0110,0.0252,false,-0.0391,false,0.0229,false
APH,2025-11-04,0.0495,0.2133,-0.0228,0.0252,false,-0.0391,false,0.0229,false
APH,2026-02-04,0.1080,0.5072,0.0035,0.0252,false,-0.0391,false,0.0229,false
APP,2023-03-01,0.0700,0.3108,0.0674,0.3472,false,0.2749,false,0.3901,false
APP,2023-05-10,0.0500,0.2155,0.0764,0.3472,false,0.2749,false,0.3901,false
APP,2023-08-09,0.0400,0.1699,0.0186,0.3472,false,0.2749,false,0.3901,false
APP,2023-11-08,0.0900,0.4116,0.0463,0.3472,false,0.2749,false,0.3901,false
APP,2024-02-14,0.0800,0.3605,0.0065,0.3472,false,0.2749,false,0.3901,false
APP,2024-05-08,0.0600,0.2625,0.0446,0.3472,false,0.2749,false,0.3901,false
APP,2024-08-07,0.0200,0.0824,0.0966,0.3472,false,0.2749,false,0.3901,false
APP,2024-11-06,0.0700,0.3108,0.0074,0.3472,false,0.2749,false,0.3901,false
APP,2025-02-12,0.0500,0.2155,-0.0620,0.3472,false,0.2749,false,0.3901,false
APP,2025-05-07,0.0400,0.1699,0.0785,0.3472,false,0.2749,false,0.3901,false
APP,2025-08-06,0.0100,0.0406,0.0093,0.3472,false,0.2749,false,0.3901,false
APP,2025-11-05,0.0500,0.2155,-0.0231,0.3472,false,0.2749,false,0.3901,false
APTV,2025-05-05,0.1387,0.6810,0.0726,-0.0530,false,-0.1269,false,-0.0724,false
APTV,2025-08-04,0.0296,0.1238,0.0110,-0.0530,false,-0.1269,false,-0.0724,false
APTV,2025-11-04,0.0093,0.0376,-0.0228,-0.0530,false,-0.1269,false,-0.0724,false
APTV,2026-02-04,0.0339,0.1429,0.0035,-0.0530,false,-0.1269,false,-0.0724,false
AVGO,2023-03-02,0.0400,0.1699,0.0442,-0.0051,false,-0.0285,false,-0.0124,false
AVGO,2023-06-01,0.0300,0.1255,0.0295,-0.0051,false,-0.0285,false,-0.0124,false
AVGO,2023-09-01,0.0100,0.0406,-0.0509,-0.0051,false,-0.0285,false,-0.0124,false
AVGO,2023-12-07,0.0500,0.2155,0.0566,-0.0051,false,-0.0285,false,-0.0124,false
AVGO,2024-03-07,0.0300,0.1255,-0.0001,-0.0051,false,-0.0285,false,-0.0124,false
AVGO,2024-06-12,0.0200,0.0824,0.0287,-0.0051,false,-0.0285,false,-0.0124,false
AVGO,2024-09-05,-0.0100,-0.0394,0.0552,-0.0051,false,-0.0285,false,-0.0124,false
AVGO,2024-12-12,0.0400,0.1699,-0.0293,-0.0051,false,-0.0285,false,-0.0124,false
AVGO,2025-03-06,0.0100,0.0406,-0.0063,-0.0051,false,-0.0285,false,-0.0124,false
AVGO,2025-06-05,0.0000,0.0000,0.0324,-0.0051,false,-0.0285,false,-0.0124,false
AVGO,2025-09-04,0.0200,0.0824,0.0375,-0.0051,false,-0.0285,false,-0.0124,false
