symbol,quality_score,valuation_score,revenue_cagr_3y,fcf_cagr_3y,roic,fcf_margin,debt_to_ebitda,asset_turnover,sector,industry,valuation_method,valuation_context,market_cap,enterprise_value,trailing_pe,forward_pe,price_to_sales,enterprise_to_ebitda,enterprise_to_revenue,fcf_yield,missing_flags
NVDA,81.472270,0.316667,1.000451,1.939052,0.701692,0.447703,0.082864,1.044172,TECHNOLOGY,"SEMICONDUCTORS",enterprise_multiples,"industry:SEMICONDUCTORS",4203063541760,4145466048512,35.291836,15.540317,19.464214,31.115000,19.197000,0.023001,""
APP,61.279726,0.106190,0.248381,1.122899,1.129598,0.719391,0.815503,0.754960,COMMUNICATION SERVICES,"ADVERTISING AGENCIES",enterprise_multiples,"sector:COMMUNICATION SERVICES",149507915776,150388719616,44.062750,21.837147,27.278898,35.178000,27.440000,0.026372,""
ANET,58.110942,0.066667,0.271465,1.117048,0.306069,0.472190,0.000000,0.463051,TECHNOLOGY,"COMPUTER HARDWARE",enterprise_multiples,"industry:COMPUTER HARDWARE",165243387904,154162003968,47.543480,30.779915,18.348755,39.240000,17.118000,0.025734,""
PLTR,57.539965,0.027778,0.329171,1.252871,0.225135,0.469359,0.159245,0.502837,TECHNOLOGY,"SOFTWARE - INFRASTRUCTURE",enterprise_multiples,"industry:SOFTWARE - INFRASTRUCTURE",360377679872,353530740736,,80.690155,80.523310,,,0.005829,""
FIX,52.623458,0.200000,0.300251,0.597146,0.532387,0.113326,0.332302,1.413042,INDUSTRIALS,"ENGINEERING & CONSTRUCTION",enterprise_multiples,"industry:ENGINEERING & CONSTRUCTION",47855222784,47112048640,46.946370,30.627878,5.257868,32.389000,5.176000,0.021554,""
IBKR,50.896617,0.416667,0.345979,0.592407,19.151210,1.540207,0.002139,0.050295,FINANCIAL SERVICES,"CAPITAL MARKETS",financial_multiples,"industry:CAPITAL MARKETS",111311462400,-35779051520,29.490992,23.901138,17.927439,,,0.141441,""
NEM,49.334009,0.640000,0.239118,0.885436,0.225249,0.321982,0.412655,0.396859,BASIC MATERIALS,"GOLD",enterprise_multiples,"sector:BASIC MATERIALS",104542994432,101850349568,14.992176,8.830820,4.611716,7.356000,4.493000,0.069818,""
NOW,36.694712,0.244444,0.223765,0.277739,6.710000,0.341392,0.937939,0.509900,TECHNOLOGY,"TECHNOLOGY",enterprise_multiples,"industry:TECHNOLOGY",115478,111576481792,66.063200,66.063200,8.697000,40.751000,8.403000,0.038921,""
TTD,26.216572,0.424286,0.224419,0.196709,0.175295,0.270332,0.618816,0.470694,COMMUNICATION SERVICES,"ADVERTISING AGENCIES",enterprise_multiples,"sector:COMMUNICATION SERVICES",11475807232,10609079296,26.788890,10.118943,3.962252,15.373000,3.663000,0.068227,""
AVGO,22.976860,0.550000,0.243784,0.181654,0.158152,0.421275,1.869039,0.373407,TECHNOLOGY,"SEMICONDUCTORS",enterprise_multiples,"industry:SEMICONDUCTORS",1472212893696,156998615040,60.646490,17.477236,21.560776,4.218000,2.299000,0.018281,""
