symbol,preselection_score,passed_filters,core_coverage,quality_score,valuation_score,revenue_cagr_3y,fcf_cagr_3y,roic,fcf_margin,debt_to_ebitda,asset_turnover,sector,industry,valuation_method,valuation_context,market_cap,enterprise_value,trailing_pe,forward_pe,price_to_sales,enterprise_to_ebitda,enterprise_to_revenue,fcf_yield,missing_flags
NVDA,111.072270,true,5,81.472270,0.300000,1.000451,1.939052,0.701692,0.447703,0.082864,1.044172,TECHNOLOGY,"SEMICONDUCTORS",enterprise_multiples,"industry:SEMICONDUCTORS",4271603712000,4219580973056,35.867348,15.810045,19.781620,31.671000,19.541000,0.022632,""
DECK,89.420737,false,5,61.443362,0.664781,0.165343,0.991492,1.017045,0.192224,0.222021,1.396431,CONSUMER CYCLICAL,"FOOTWEAR & ACCESSORIES",enterprise_multiples,"sector:CONSUMER CYCLICAL",14707111936,12580307968,14.333807,13.780850,2.736356,9.250000,2.341000,0.065162,""
APP,89.338224,true,5,61.279726,0.171542,0.248381,1.122899,1.129598,0.719391,0.815503,0.754960,COMMUNICATION SERVICES,"ADVERTISING AGENCIES",enterprise_multiples,"sector:COMMUNICATION SERVICES",131072466944,131990200320,38.591045,19.144463,23.915205,30.875000,24.083000,0.030081,""
ANET,85.550942,true,5,58.110942,0.120000,0.271465,1.117048,0.306069,0.472190,0.000000,0.463051,TECHNOLOGY,"COMPUTER HARDWARE",enterprise_multiples,"industry:COMPUTER HARDWARE",157221748736,146226249728,45.399998,29.206932,17.458027,37.220000,16.237000,0.027047,""
PLTR,83.873298,true,5,57.539965,0.027778,0.329171,1.252871,0.225135,0.469359,0.159245,0.502837,TECHNOLOGY,"SOFTWARE - INFRASTRUCTURE",enterprise_multiples,"industry:SOFTWARE - INFRASTRUCTURE",350356570112,343509598208,,78.698410,78.284170,,,0.005996,""
NEM,82.772605,true,5,49.334009,0.619883,0.239118,0.885436,0.225249,0.321982,0.412655,0.396859,BASIC MATERIALS,"GOLD",enterprise_multiples,"sector:BASIC MATERIALS",123789205504,121421209600,17.807512,10.483471,5.460726,8.769000,5.356000,0.058963,""
IBKR,81.896617,true,5,50.896617,0.416667,0.345979,0.592407,19.151210,1.540207,0.002139,0.050295,FINANCIAL SERVICES,"CAPITAL MARKETS",financial_multiples,"industry:CAPITAL MARKETS",115459932160,-34692177920,30.590092,24.642931,18.595577,,,0.136359,""
FIX,81.023458,true,5,52.623458,0.200000,0.300251,0.597146,0.532387,0.113326,0.332302,1.413042,INDUSTRIALS,"ENGINEERING & CONSTRUCTION",enterprise_multiples,"industry:ENGINEERING & CONSTRUCTION",50386690048,49632391168,49.498270,32.248047,5.536001,34.122000,5.453000,0.020471,""
UBER,74.895907,false,5,45.095907,0.816667,0.177306,1.925317,0.137317,0.187689,1.913815,0.841672,TECHNOLOGY,"SOFTWARE - APPLICATION",enterprise_multiples,"industry:SOFTWARE - APPLICATION",147587497984,153298501632,15.160676,16.702536,2.837294,24.287000,2.947000,0.066151,""
RMD,74.769462,false,5,51.169462,0.300000,0.128792,1.037748,0.251144,0.320801,0.442913,0.629567,HEALTHCARE,"MEDICAL INSTRUMENTS & SUPPLIES",enterprise_multiples,"industry:MEDICAL INSTRUMENTS & SUPPLIES",32528588800,31895083008,22.020752,18.299423,6.025912,15.751000,5.909000,0.050754,""
DELL,71.495514,false,5,47.276952,0.600000,0.035350,1.478052,0.394336,0.075323,2.745359,1.120964,TECHNOLOGY,"COMPUTER HARDWARE",enterprise_multiples,"industry:COMPUTER HARDWARE",112246366208,130103869440,19.536333,11.681654,0.988624,11.356000,1.146000,0.076190,""
NFLX,68.606741,false,5,47.521026,0.090476,0.126397,0.801384,0.358901,0.209394,0.480778,0.812688,COMMUNICATION SERVICES,"ENTERTAINMENT",enterprise_multiples,"industry:ENTERTAINMENT",405312569344,411341062144,37.766800,24.796864,8.970459,30.113000,9.104000,0.023343,""
