rank,ticker,next_earnings_date,days_to_earnings,drift_score,confidence,expected_kpi_surprise,probability_post_earnings_outperform,deviation_vs_consensus,expected_stock_reaction,eligible,historical_sample_n,historical_avg_return_5d,historical_hit_rate,forward_status,forward_days_open,forward_alpha_vs_expected_pct
1,FIX,2026-07-22,111,1.7488,0.9132,1.9345,0.99,1.9345,Likely positive post-earnings drift,true,12,0.0175,0.8333,OPEN,25,10.8415
2,ROP,2026-07-20,109,1.1158,0.8841,1.3,0.9708,1.3,Likely positive post-earnings drift,true,4,-0.028,0.25,,,
3,EFX,2026-07-20,109,0.8285,0.8245,1.0291,0.9764,1.0291,Likely positive post-earnings drift,true,4,0.0375,0.75,,,
4,HAS,2026-07-21,110,0.7452,0.8245,0.9374,0.9642,0.9374,Likely positive post-earnings drift,true,4,0.0523,1,,,
5,LRCX,2026-07-28,117,0.5038,0.8305,0.6724,0.9022,0.6724,Likely positive post-earnings drift,true,4,0.073,1,OPEN,1,-0.0595
6,NEM,2026-07-22,111,0.3563,0.8536,0.4772,0.8748,0.4772,Likely positive post-earnings drift,true,12,0.0083,0.5833,OPEN,25,-3.0698
7,HWM,2026-07-29,118,0.3187,0.6907,0.5357,0.8615,0.5357,Likely positive post-earnings drift,true,4,0.0345,0.75,,,
8,DHI,2026-07-20,109,0.2935,0.8305,0.4427,0.7983,0.4427,Likely positive post-earnings drift,true,4,0.0164,1,,,
9,INCY,2026-07-27,116,0.2898,0.8841,0.3949,0.8301,0.3949,Likely positive post-earnings drift,true,4,0.0022,0.5,OPEN,8,3.6809
10,ADP,2026-07-28,117,0.2542,0.8245,0.364,0.8471,0.364,Likely positive post-earnings drift,true,4,-0.0164,0.5,,,
11,MPWR,2026-07-29,118,0.241,0.8305,0.3586,0.8091,0.3586,Likely positive post-earnings drift,true,12,0.005,0.5833,,,
12,APTV,2026-07-29,118,0.2398,0.8781,0.34,0.8031,0.34,Likely positive post-earnings drift,true,4,0.0529,1,,,
13,KLAC,2026-07-29,118,0.2187,0.8305,0.3362,0.7832,0.3362,Likely positive post-earnings drift,true,4,0.0551,0.5,,,
14,BSX,2026-07-21,110,0.2005,0.8305,0.3185,0.7579,0.3185,Likely positive post-earnings drift,true,4,-0.0102,0.25,,,
15,APH,2026-07-21,110,0.1651,0.8305,0.2776,0.7161,0.2776,Likely positive post-earnings drift,true,4,0.0555,1,,,
16,JBHT,2026-07-13,102,0,0.6396,,,,,true,4,0.0192,0.5,,,
17,IBKR,2026-07-15,104,0,0.3951,,,,,false,12,0.0142,0.8333,,,
18,NFLX,2026-07-15,104,0,0.6396,,,,,true,4,0.0131,0.5,,,
19,SCHW,2026-07-16,105,0,0.5522,,,,,false,4,-0.0053,0.75,,,
20,AOS,2026-07-20,109,0,0.6336,,,,,true,4,0.0168,1,OPEN,8,-0.9333
