sleeve_id,label,rank,ticker,source_mix,factor_score,sleeve_score,baseline_score,score_delta_vs_baseline,confidence,strongest_drivers
quality,Quality,1,NVDA,none,0.8867,0.2394,0.4886,-0.2492,0.6396,growth(1.00); quality(0.89); value(0.29)
quality,Quality,2,APP,hybrid,0.8507,0.2297,0.3646,-0.1349,0.683,quality(0.85); growth(0.55); value(0.12)
quality,Quality,3,FIX,hybrid,0.7664,0.2069,0.6341,-0.4272,0.9132,alt_momentum(1.00); peer_relative(1.00); proxy_inferred(1.00)
quality,Quality,4,IDXX,hybrid,0.6793,0.1834,0.385,-0.2016,0.8305,quality(0.68); alt_momentum(0.50); peer_relative(0.50)
quality,Quality,5,WSM,none,0.6569,0.1774,0.2354,-0.0581,0.6336,quality(0.66); value(0.45); growth(0.06)
quality,Quality,6,AOS,none,0.6324,0.1707,0.2717,-0.1009,0.6336,value(0.83); quality(0.63); growth(0.08)
quality,Quality,7,INCY,hybrid,0.6306,0.1703,0.446,-0.2758,0.8841,value(0.87); quality(0.63); alt_momentum(0.51)
quality,Quality,8,LRCX,hybrid,0.6094,0.1645,0.4442,-0.2796,0.8305,alt_momentum(0.62); peer_relative(0.62); quality(0.61)
quality,Quality,9,MNST,none,0.5928,0.1601,0.2101,-0.05,0.6396,quality(0.59); growth(0.21); value(0.05)
quality,Quality,10,ADBE,none,0.5927,0.16,0.2591,-0.0991,0.6396,value(0.81); quality(0.59); growth(0.08)
growth,Growth,1,NVDA,none,1,0.22,0.4886,-0.2686,0.6396,growth(1.00); quality(0.89); value(0.29)
growth,Growth,2,PLTR,hybrid,0.6328,0.1392,0.2926,-0.1533,0.8305,growth(0.63); quality(0.47); alt_momentum(0.08)
growth,Growth,3,ANET,none,0.5554,0.1222,0.2823,-0.1601,0.6046,growth(0.56); quality(0.54); value(0.13)
growth,Growth,4,APP,hybrid,0.5485,0.1207,0.3646,-0.2439,0.683,quality(0.85); growth(0.55); value(0.12)
growth,Growth,5,UBER,none,0.6709,0.1062,0.2555,-0.1493,0.6396,value(0.80); growth(0.67); quality(0.26)
growth,Growth,6,CTVA,hybrid,0.4771,0.105,0.387,-0.282,0.8245,alt_momentum(0.58); peer_relative(0.58); value(0.54)
growth,Growth,7,RMD,none,0.4666,0.1027,0.2465,-0.1439,0.6396,growth(0.47); quality(0.41); value(0.34)
growth,Growth,8,NEM,hybrid,0.4498,0.099,0.4229,-0.3239,0.8536,value(0.61); alt_momentum(0.56); peer_relative(0.56)
growth,Growth,9,DASH,none,0.7109,0.0829,0.1405,-0.0576,0.6336,growth(0.71); value(0.18); quality(0.15)
growth,Growth,10,NFLX,none,0.3711,0.0816,0.2162,-0.1345,0.6396,quality(0.47); growth(0.37); value(0.07)
value,Value,1,ACN,hybrid,0.9416,0.0942,0.2692,-0.175,0.8305,value(0.94); quality(0.50); alt_momentum(0.10)
value,Value,2,CRM,none,0.9313,0.0931,0.1709,-0.0778,0.6396,value(0.93); growth(0.17); quality(0.15)
value,Value,3,QCOM,none,0.8741,0.0874,0.2273,-0.1399,0.6396,value(0.87); quality(0.44); growth(0.09)
value,Value,4,INCY,hybrid,0.867,0.0867,0.446,-0.3593,0.8841,value(0.87); quality(0.63); alt_momentum(0.51)
value,Value,5,AOS,none,0.833,0.0833,0.2717,-0.1884,0.6336,value(0.83); quality(0.63); growth(0.08)
value,Value,6,ADBE,none,0.8101,0.081,0.2591,-0.1781,0.6396,value(0.81); quality(0.59); growth(0.08)
value,Value,7,EPAM,none,0.7955,0.0795,0.2414,-0.1619,0.6396,value(0.80); quality(0.53); growth(0.08)
value,Value,8,IVZ,none,0.7781,0.0778,0.1804,-0.1026,0.5988,value(0.78); quality(0.24); growth(0.17)
value,Value,9,CBOE,none,0.7382,0.0738,0.1957,-0.1218,0.6374,value(0.74); quality(0.30); growth(0.19)
value,Value,10,PNR,none,0.8977,0.0714,0.154,-0.0826,0.6396,value(0.90); quality(0.18); growth(0.16)
alt_momentum,Alt Momentum,1,FIX,hybrid,1,0.13,0.6341,-0.5041,0.9132,alt_momentum(1.00); peer_relative(1.00); proxy_inferred(1.00)
alt_momentum,Alt Momentum,2,LRCX,hybrid,0.6219,0.0809,0.4442,-0.3633,0.8305,alt_momentum(0.62); peer_relative(0.62); quality(0.61)
alt_momentum,Alt Momentum,3,CTVA,hybrid,0.5783,0.0752,0.387,-0.3118,0.8245,alt_momentum(0.58); peer_relative(0.58); value(0.54)
alt_momentum,Alt Momentum,4,NEM,hybrid,0.5562,0.0723,0.4229,-0.3506,0.8536,value(0.61); alt_momentum(0.56); peer_relative(0.56)
alt_momentum,Alt Momentum,5,INCY,hybrid,0.5111,0.0664,0.446,-0.3796,0.8841,value(0.87); quality(0.63); alt_momentum(0.51)
alt_momentum,Alt Momentum,6,ADP,hybrid,0.5119,0.0653,0.3026,-0.2373,0.8245,value(0.64); alt_momentum(0.51); peer_relative(0.51)
alt_momentum,Alt Momentum,7,IDXX,hybrid,0.4964,0.0645,0.385,-0.3204,0.8305,quality(0.68); alt_momentum(0.50); peer_relative(0.50)
alt_momentum,Alt Momentum,8,MPWR,hybrid,0.4905,0.0638,0.3596,-0.2958,0.8305,quality(0.50); alt_momentum(0.49); peer_relative(0.49)
alt_momentum,Alt Momentum,9,KLAC,hybrid,0.471,0.0612,0.3233,-0.2621,0.8305,alt_momentum(0.47); peer_relative(0.47); quality(0.47)
alt_momentum,Alt Momentum,10,PANW,hybrid,0.4182,0.0544,0.2905,-0.2362,0.8841,alt_momentum(0.42); peer_relative(0.42); proxy_inferred(0.37)
peer_relative,Peer Relative,1,FIX,hybrid,1,0.12,0.6341,-0.5141,0.9132,alt_momentum(1.00); peer_relative(1.00); proxy_inferred(1.00)
peer_relative,Peer Relative,2,LRCX,hybrid,0.6219,0.0746,0.4442,-0.3695,0.8305,alt_momentum(0.62); peer_relative(0.62); quality(0.61)
peer_relative,Peer Relative,3,CTVA,hybrid,0.5783,0.0694,0.387,-0.3176,0.8245,alt_momentum(0.58); peer_relative(0.58); value(0.54)
peer_relative,Peer Relative,4,NEM,hybrid,0.5562,0.0667,0.4229,-0.3562,0.8536,value(0.61); alt_momentum(0.56); peer_relative(0.56)
peer_relative,Peer Relative,5,INCY,hybrid,0.5111,0.0613,0.446,-0.3847,0.8841,value(0.87); quality(0.63); alt_momentum(0.51)
peer_relative,Peer Relative,6,ADP,hybrid,0.5119,0.0602,0.3026,-0.2424,0.8245,value(0.64); alt_momentum(0.51); peer_relative(0.51)
peer_relative,Peer Relative,7,IDXX,hybrid,0.4964,0.0596,0.385,-0.3254,0.8305,quality(0.68); alt_momentum(0.50); peer_relative(0.50)
peer_relative,Peer Relative,8,MPWR,hybrid,0.4905,0.0589,0.3596,-0.3007,0.8305,quality(0.50); alt_momentum(0.49); peer_relative(0.49)
peer_relative,Peer Relative,9,KLAC,hybrid,0.471,0.0565,0.3233,-0.2668,0.8305,alt_momentum(0.47); peer_relative(0.47); quality(0.47)
peer_relative,Peer Relative,10,PANW,hybrid,0.4182,0.0502,0.2905,-0.2404,0.8841,alt_momentum(0.42); peer_relative(0.42); proxy_inferred(0.37)
proxy_inferred,Proxy Inferred,1,FIX,hybrid,1,0.08,0.6341,-0.5541,0.9132,alt_momentum(1.00); peer_relative(1.00); proxy_inferred(1.00)
proxy_inferred,Proxy Inferred,2,LRCX,hybrid,0.5603,0.0448,0.4442,-0.3994,0.8305,alt_momentum(0.62); peer_relative(0.62); quality(0.61)
proxy_inferred,Proxy Inferred,3,CTVA,hybrid,0.5118,0.0409,0.387,-0.346,0.8245,alt_momentum(0.58); peer_relative(0.58); value(0.54)
proxy_inferred,Proxy Inferred,4,HWM,proxy_only,0.5025,0.0402,0.1679,-0.1277,0.6907,proxy_inferred(0.50); quality(0.28); growth(0.21)
proxy_inferred,Proxy Inferred,5,NEM,hybrid,0.4878,0.039,0.4229,-0.3839,0.8536,value(0.61); alt_momentum(0.56); peer_relative(0.56)
proxy_inferred,Proxy Inferred,6,INCY,hybrid,0.4464,0.0357,0.446,-0.4103,0.8841,value(0.87); quality(0.63); alt_momentum(0.51)
proxy_inferred,Proxy Inferred,7,IDXX,hybrid,0.4396,0.0352,0.385,-0.3498,0.8305,quality(0.68); alt_momentum(0.50); peer_relative(0.50)
proxy_inferred,Proxy Inferred,8,MPWR,hybrid,0.4278,0.0342,0.3596,-0.3254,0.8305,quality(0.50); alt_momentum(0.49); peer_relative(0.49)
