mode,label,rank,ticker,source_mix,variant_score,baseline_score,score_delta_vs_baseline,confidence,expected_alpha_20d
direct_only,Direct Only,1,FIX,hybrid,0.5496,0.6296,-0.08,0.9144,
direct_only,Direct Only,2,NEM,hybrid,0.2091,0.2091,0,0.8554,
direct_only,Direct Only,3,CRM,hybrid,0.1994,0.221,-0.0217,0.8324,
direct_only,Direct Only,4,TTD,hybrid,0.1176,0.1181,-0.0004,0.8554,
proxy_only,Proxy Only,1,FIX,hybrid,0.3596,0.6296,-0.27,0.9144,
proxy_only,Proxy Only,2,NEM,hybrid,0.2091,0.2091,0,0.8554,
proxy_only,Proxy Only,3,LRCX,proxy_only,0.206,0.206,0,0.6954,
proxy_only,Proxy Only,4,COR,proxy_only,0.1549,0.1549,0,0.6362,
proxy_only,Proxy Only,5,CRM,hybrid,0.1351,0.221,-0.0859,0.8324,
proxy_only,Proxy Only,6,KLAC,proxy_only,0.1349,0.1349,0,0.6954,
proxy_only,Proxy Only,7,TTD,hybrid,0.1134,0.1181,-0.0047,0.8554,
proxy_only,Proxy Only,8,DELL,proxy_only,0.0986,0.0986,0,0.6954,
proxy_only,Proxy Only,9,EFX,proxy_only,0.0318,0.0318,0,0.6899,
proxy_only,Proxy Only,10,APH,proxy_only,0.0268,0.0268,0,0.6954,
hybrid,Hybrid,1,FIX,hybrid,0.6296,0.6296,0,0.9144,
hybrid,Hybrid,2,CRM,hybrid,0.221,0.221,0,0.8324,
hybrid,Hybrid,3,NEM,hybrid,0.2091,0.2091,0,0.8554,
hybrid,Hybrid,4,TTD,hybrid,0.1181,0.1181,0,0.8554,
