ticker,report_date,eps_estimate,revenue_estimate,hour,provider
CL,2026-07-30,0.9968,5491686102,bmo,finnhub
XOM,2026-07-30,1.9054,86451398137,bmo,finnhub
CBOE,2026-07-30,2.9397,654969030,bmo,finnhub
CVS,2026-07-29,1.8418,100452334499,bmo,finnhub
HWM,2026-07-29,1.1405,2309988584,bmo,finnhub
RMD,2026-07-29,2.9176,1475388365,amc,finnhub
AAPL,2026-07-29,1.7623,104051740118,amc,finnhub
JNPR,2026-07-29,0.5154,1384333800,amc,finnhub
KLAC,2026-07-29,9.9693,3601552476,amc,finnhub
MA,2026-07-29,4.988,9388136632,bmo,finnhub
APTV,2026-07-29,2.1475,5564103192,bmo,finnhub
BTU,2026-07-29,0.8023,1186303075,bmo,finnhub
MAS,2026-07-29,1.3188,2094002245,bmo,finnhub
MPWR,2026-07-29,5.2356,831383303,amc,finnhub
ATI,2026-07-29,0.9696,1234121525,bmo,finnhub
ABBV,2026-07-29,3.8583,17146293064,bmo,finnhub
EME,2026-07-29,7.2684,4620581431,,finnhub
AMZN,2026-07-29,1.8366,192019184958,amc,finnhub
FSLR,2026-07-29,4.3471,1227030787,amc,finnhub
FFIV,2026-07-28,3.9435,834878160,amc,finnhub
ADP,2026-07-28,2.5912,5463528340,amc,finnhub
META,2026-07-28,7.3704,60664986203,amc,finnhub
GRMN,2026-07-28,2.3416,2003998080,,finnhub
EBAY,2026-07-28,1.5269,3015412648,,finnhub
QCOM,2026-07-28,2.5148,10488783287,amc,finnhub
PTC,2026-07-28,1.6835,638130392,amc,finnhub
LRCX,2026-07-28,1.4588,6142034264,amc,finnhub
MSFT,2026-07-28,4.3429,89329833635,amc,finnhub
CHEF,2026-07-28,0.5891,1131322800,,finnhub
MO,2026-07-28,1.5155,5456820726,bmo,finnhub
DXCM,2026-07-28,0.614,1322551910,,finnhub
INCY,2026-07-27,1.8669,1399418100,,finnhub
BXC,2026-07-27,0.4646,816900453,,finnhub
UHS,2026-07-27,5.9237,4618066854,amc,finnhub
INTC,2026-07-22,0.0675,13154734857,amc,finnhub
MTX,2026-07-22,1.717,557469500,,finnhub
NEM,2026-07-22,2.4294,7121555046,bmo,finnhub
DECK,2026-07-22,0.9447,1046790616,,finnhub
FIX,2026-07-22,8.9881,2720945686,,finnhub
LII,2026-07-21,7.7351,1554842611,bmo,finnhub
HAS,2026-07-21,1.3156,1093982934,bmo,finnhub
GOOGL,2026-07-21,2.8448,116729569555,amc,finnhub
NOW,2026-07-21,0.9649,3899293516,amc,finnhub
APH,2026-07-21,1.0536,7714810189,,finnhub
BSX,2026-07-21,0.8749,5619853271,bmo,finnhub
EFX,2026-07-20,2.2828,1720174621,amc,finnhub
ISRG,2026-07-20,2.5289,2852450400,amc,finnhub
IVZ,2026-07-20,0.6616,1324638563,bmo,finnhub
RTX,2026-07-20,1.6639,22905542358,bmo,finnhub
KO,2026-07-20,0.9713,13774340853,bmo,finnhub
ROP,2026-07-20,5.3391,2128173959,,finnhub
PHM,2026-07-20,2.6772,4214245513,bmo,finnhub
PNR,2026-07-20,1.5166,1168733306,bmo,finnhub
BKR,2026-07-20,0.6215,6774175545,amc,finnhub
DHI,2026-07-20,2.9913,9347152494,bmo,finnhub
AOS,2026-07-20,1.0999,1045742970,,finnhub
SCHW,2026-07-16,1.4773,6670382452,bmo,finnhub
NFLX,2026-07-15,0.8422,12806800230,amc,finnhub
IBKR,2026-07-15,0.612,1714043363,amc,finnhub
GS,2026-07-14,14.7071,16510516252,bmo,finnhub
MS,2026-07-14,2.7995,19396571092,bmo,finnhub
JBHT,2026-07-13,1.7125,3066376224,amc,finnhub
