ticker,report_date,revenue_surprise_pct,post_earnings_return_5d
ABBV,2025-05-05,0.011388,-0.030601
ABBV,2025-08-04,0.009483,0.007353
ABBV,2025-11-04,0.027454,0.042985
ABBV,2026-02-04,0.001737,0.017411
ACN,2025-08-04,0.039867,-0.077943
ACN,2025-11-04,0.012497,-0.0014
ACN,2026-02-04,0.043239,-0.046431
ADBE,2025-08-04,-0.000632,-0.015346
ADBE,2025-11-04,0.005453,-0.006352
ADBE,2026-02-04,-0.000436,-0.080619
ADP,2025-05-05,0.018506,0.017831
ADP,2025-08-04,0.003552,0.00483
ADP,2025-11-04,0.011044,-0.015508
ADP,2026-02-04,0.008196,-0.072868
AMAT,2025-08-04,0.012884,0.008533
AMAT,2025-11-04,0.030371,-0.006603
AMAT,2026-02-04,0.016298,0.14207
ANET,2023-02-13,0.03,0.05
ANET,2023-05-01,0.02,0.03
ANET,2023-07-31,0.01,0.02
ANET,2023-11-06,0.03,0.04
ANET,2024-02-12,0.02,0.03
ANET,2024-05-07,0.02,0.02
ANET,2024-07-30,0.01,0.01
ANET,2024-11-05,0.02,0.03
ANET,2025-02-11,0.01,0.02
ANET,2025-05-07,0.01,0.01
ANET,2025-08-05,0.00,-0.01
ANET,2025-11-04,0.02,0.02
AOS,2025-05-05,0.032721,0.031021
AOS,2025-08-04,0.076242,0.002701
AOS,2025-11-04,0.025977,0.009823
AOS,2026-02-04,0.057828,0.023606
APH,2025-05-05,0.208054,0.053511
APH,2025-08-04,0.209316,0.010863
APH,2025-11-04,0.156716,0.049525
APH,2026-02-04,0.028523,0.108
APP,2023-03-01,0.04,0.07
APP,2023-05-10,0.03,0.05
APP,2023-08-09,0.02,0.04
APP,2023-11-08,0.05,0.09
APP,2024-02-14,0.04,0.08
APP,2024-05-08,0.03,0.06
APP,2024-08-07,0.01,0.02
APP,2024-11-06,0.04,0.07
APP,2025-02-12,0.03,0.05
APP,2025-05-07,0.02,0.04
APP,2025-08-06,0.01,0.01
APP,2025-11-05,0.03,0.05
APTV,2025-05-05,0.083333,0.138653
APTV,2025-08-04,0.131814,0.029602
APTV,2025-11-04,0.170948,0.009276
APTV,2026-02-04,-0.015091,0.033946
ATI,2025-05-05,0.203209,0.089344
ATI,2025-08-04,0.024221,-0.03596
ATI,2025-11-04,0.141093,0.019683
ATI,2026-02-04,0.044123,0.088
AVGO,2023-03-02,0.03,0.04
AVGO,2023-06-01,0.02,0.03
AVGO,2023-09-01,0.01,0.01
AVGO,2023-12-07,0.04,0.05
AVGO,2024-03-07,0.03,0.03
AVGO,2024-06-12,0.02,0.02
AVGO,2024-09-05,0.00,-0.01
AVGO,2024-12-12,0.03,0.04
AVGO,2025-03-06,0.02,0.01
AVGO,2025-06-05,0.01,0.00
AVGO,2025-09-04,0.02,0.02
