date,ticker,value
2025-01-29,AAPL,45486100
2025-01-30,AAPL,55658300
2025-01-31,AAPL,100959800
2025-02-03,AAPL,73063300
2025-02-04,AAPL,45067300
2025-02-05,AAPL,39620300
2025-02-06,AAPL,29925300
2025-02-07,AAPL,39707200
2025-02-10,AAPL,33115600
2025-02-11,AAPL,53718400
2025-02-12,AAPL,45243300
2025-02-13,AAPL,53614100
2025-02-14,AAPL,40896200
2025-02-18,AAPL,48822500
2025-02-19,AAPL,32204200
2025-02-20,AAPL,32316900
2025-02-21,AAPL,53197400
2025-02-24,AAPL,51326400
2025-02-25,AAPL,48013300
2025-02-26,AAPL,44433600
2025-02-27,AAPL,41153600
2025-02-28,AAPL,56833400
2025-03-03,AAPL,47184000
2025-03-04,AAPL,53798100
2025-03-05,AAPL,47227600
2025-03-06,AAPL,45170400
2025-03-07,AAPL,46273600
2025-03-10,AAPL,72071200
2025-03-11,AAPL,76137400
2025-03-12,AAPL,62547500
2025-03-13,AAPL,61368300
2025-03-14,AAPL,60107600
2025-03-17,AAPL,48073400
2025-03-18,AAPL,42432400
2025-03-19,AAPL,54385400
2025-03-20,AAPL,48862900
2025-03-21,AAPL,94127800
2025-03-24,AAPL,44299500
2025-03-25,AAPL,34493600
2025-03-26,AAPL,34466100
2025-03-27,AAPL,37094800
2025-03-28,AAPL,39818600
2025-03-31,AAPL,65299300
2025-04-01,AAPL,36412700
2025-04-02,AAPL,35905900
2025-04-03,AAPL,103419000
2025-04-04,AAPL,125910900
2025-04-07,AAPL,160466300
2025-04-08,AAPL,120859500
2025-04-09,AAPL,184395900
2025-04-10,AAPL,121880000
2025-04-11,AAPL,87435900
2025-04-14,AAPL,101352900
2025-04-15,AAPL,51343900
2025-04-16,AAPL,59732400
2025-04-17,AAPL,52164700
2025-04-21,AAPL,46742500
2025-04-22,AAPL,52976400
2025-04-23,AAPL,52929200
2025-04-24,AAPL,47311000
2025-04-25,AAPL,38222300
2025-04-28,AAPL,38743100
2025-04-29,AAPL,36827600
2025-04-30,AAPL,52286500
2025-05-01,AAPL,57365700
2025-05-02,AAPL,101010600
2025-05-05,AAPL,69018500
2025-05-06,AAPL,51216500
2025-05-07,AAPL,68536700
2025-05-08,AAPL,50478900
2025-05-09,AAPL,36453900
2025-05-12,AAPL,63775800
2025-05-13,AAPL,51909300
2025-05-14,AAPL,49325800
2025-05-15,AAPL,45029500
2025-05-16,AAPL,54737900
2025-05-19,AAPL,46140500
2025-05-20,AAPL,42496600
2025-05-21,AAPL,59211800
2025-05-22,AAPL,46742400
2025-05-23,AAPL,78432900
2025-05-27,AAPL,56288500
2025-05-28,AAPL,45339700
2025-05-29,AAPL,51396800
2025-05-30,AAPL,70819900
2025-06-02,AAPL,35423300
2025-06-03,AAPL,46381600
2025-06-04,AAPL,43604000
2025-06-05,AAPL,55126100
2025-06-06,AAPL,46607700
2025-06-09,AAPL,72862600
2025-06-10,AAPL,54672600
2025-06-11,AAPL,60989900
2025-06-12,AAPL,43904600
2025-06-13,AAPL,51447300
2025-06-16,AAPL,43020700
2025-06-17,AAPL,38856200
2025-06-18,AAPL,45394700
2025-06-20,AAPL,96813500
2025-06-23,AAPL,55814300
2025-06-24,AAPL,54064000
2025-06-25,AAPL,39525700
2025-06-26,AAPL,50799100
2025-06-27,AAPL,73188600
2025-06-30,AAPL,91912800
2025-07-01,AAPL,78788900
2025-07-02,AAPL,67941800
2025-07-03,AAPL,34955800
2025-07-07,AAPL,50229000
2025-07-08,AAPL,42848900
2025-07-09,AAPL,48749400
2025-07-10,AAPL,44443600
2025-07-11,AAPL,39765800
2025-07-14,AAPL,38840100
2025-07-15,AAPL,42296300
2025-07-16,AAPL,47490500
2025-07-17,AAPL,48068100
2025-07-18,AAPL,48974600
2025-07-21,AAPL,51377400
2025-07-22,AAPL,46404100
2025-07-23,AAPL,46989300
2025-07-24,AAPL,46022600
2025-07-25,AAPL,40268800
2025-07-28,AAPL,37858000
2025-07-29,AAPL,51411700
2025-07-30,AAPL,45512500
2025-07-31,AAPL,80698400
2025-08-01,AAPL,104434500
2025-08-04,AAPL,75109300
2025-08-05,AAPL,44155100
2025-08-06,AAPL,108483100
2025-08-07,AAPL,90224800
2025-08-08,AAPL,113854000
2025-08-11,AAPL,61806100
2025-08-12,AAPL,55626200
2025-08-13,AAPL,69878500
2025-08-14,AAPL,51916300
2025-08-15,AAPL,56038700
2025-08-18,AAPL,37476200
2025-08-19,AAPL,39402600
2025-08-20,AAPL,42263900
2025-08-21,AAPL,30621200
2025-08-22,AAPL,42477800
2025-08-25,AAPL,30983100
2025-08-26,AAPL,54575100
2025-08-27,AAPL,31259500
2025-08-28,AAPL,38074700
2025-08-29,AAPL,39418400
2025-09-02,AAPL,44075600
2025-09-03,AAPL,66427800
2025-09-04,AAPL,47549400
2025-09-05,AAPL,54870400
2025-09-08,AAPL,48999500
2025-09-09,AAPL,66313900
2025-09-10,AAPL,83440800
2025-09-11,AAPL,50208600
2025-09-12,AAPL,55824200
2025-09-15,AAPL,42699500
2025-09-16,AAPL,63421100
2025-09-17,AAPL,46508000
2025-09-18,AAPL,44249600
2025-09-19,AAPL,163741300
2025-09-22,AAPL,105517400
2025-09-23,AAPL,60275200
2025-09-24,AAPL,42303700
2025-09-25,AAPL,55202100
2025-09-26,AAPL,46076300
2025-09-29,AAPL,40127700
2025-09-30,AAPL,37704300
2025-10-01,AAPL,48713900
2025-10-02,AAPL,42630200
2025-10-03,AAPL,49155600
2025-10-06,AAPL,44664100
2025-10-07,AAPL,31955800
2025-10-08,AAPL,36496900
2025-10-09,AAPL,38322000
2025-10-10,AAPL,61999100
2025-10-13,AAPL,38142900
2025-10-14,AAPL,35478000
2025-10-15,AAPL,33893600
2025-10-16,AAPL,39777000
2025-10-17,AAPL,49147000
2025-10-20,AAPL,90483000
2025-10-21,AAPL,46695900
2025-10-22,AAPL,45015300
2025-10-23,AAPL,32754900
2025-10-24,AAPL,38253700
2025-10-27,AAPL,44888200
2025-10-28,AAPL,41534800
2025-10-29,AAPL,51086700
2025-10-30,AAPL,69886500
2025-10-31,AAPL,86167100
2025-11-03,AAPL,50194600
2025-11-04,AAPL,49274800
2025-11-05,AAPL,43683100
2025-11-06,AAPL,51204000
2025-11-07,AAPL,48227400
2025-11-10,AAPL,41312400
2025-11-11,AAPL,46208300
2025-11-12,AAPL,48398000
2025-11-13,AAPL,49602800
2025-11-14,AAPL,47431300
2025-11-17,AAPL,45018300
2025-11-18,AAPL,45677300
2025-11-19,AAPL,40424500
2025-11-20,AAPL,45823600
2025-11-21,AAPL,59030800
2025-11-24,AAPL,65585800
2025-11-25,AAPL,46914200
2025-11-26,AAPL,33431400
2025-11-28,AAPL,20135600
2025-12-01,AAPL,46587700
2025-12-02,AAPL,53669500
2025-12-03,AAPL,43538700
2025-12-04,AAPL,43989100
2025-12-05,AAPL,47265800
2025-12-08,AAPL,38211800
2025-12-09,AAPL,32193300
2025-12-10,AAPL,33038300
2025-12-11,AAPL,33248000
2025-12-12,AAPL,39532900
2025-12-15,AAPL,50409100
2025-12-16,AAPL,37648600
2025-12-17,AAPL,50138700
2025-12-18,AAPL,51630700
2025-12-19,AAPL,144632000
2025-12-22,AAPL,36571800
2025-12-23,AAPL,29642000
2025-12-24,AAPL,17910600
2025-12-26,AAPL,21521800
2025-12-29,AAPL,23715200
2025-12-30,AAPL,22139600
2025-12-31,AAPL,27293600
2026-01-02,AAPL,37838100
2026-01-05,AAPL,45647200
2026-01-06,AAPL,52352100
2026-01-07,AAPL,48309800
2026-01-08,AAPL,50419300
2026-01-09,AAPL,39997000
2026-01-12,AAPL,45263800
2026-01-13,AAPL,45730800
2026-01-14,AAPL,40019400
2026-01-15,AAPL,39388600
2026-01-16,AAPL,72142800
2026-01-20,AAPL,80267500
2026-01-21,AAPL,54641700
2026-01-22,AAPL,39708300
2026-01-23,AAPL,41689000
2026-01-26,AAPL,55969200
2026-01-27,AAPL,49648300
2026-01-28,AAPL,41288000
2026-01-29,AAPL,67253000
2026-01-30,AAPL,92443400
2026-02-02,AAPL,73913400
2026-02-03,AAPL,64394700
2026-02-04,AAPL,90545700
2026-02-05,AAPL,52977400
2026-02-06,AAPL,50453400
2026-02-09,AAPL,44623400
2026-02-10,AAPL,34376900
2026-02-11,AAPL,51931300
