date,ticker,value
2024-11-03,ATI,1
2025-01-29,ADBE,167
2025-01-29,APH,7
2025-01-29,APP,1
2025-01-29,BKR,4
2025-01-29,BSX,3
2025-01-29,CMI,41
2025-01-29,COST,141
2025-01-29,DASH,17
2025-01-29,EME,1
2025-01-29,GRMN,28
2025-01-29,INCY,1
2025-01-29,ISRG,6
2025-01-29,IVZ,69
2025-01-29,LULU,14
2025-01-29,MA,61
2025-01-29,MAS,0
2025-01-29,META,190
2025-01-29,RMD,1
2025-01-29,ROP,4
2025-01-29,SCHW,103
2025-01-29,UHS,3
2025-01-30,ADBE,119
2025-01-30,APH,1
2025-01-30,APP,1
2025-01-30,BKR,7
2025-01-30,BSX,4
2025-01-30,CMI,37
2025-01-30,COST,129
2025-01-30,DASH,47
2025-01-30,EME,3
2025-01-30,GRMN,25
2025-01-30,INCY,2
2025-01-30,ISRG,1
2025-01-30,IVZ,39
2025-01-30,LULU,10
2025-01-30,MA,72
2025-01-30,MAS,1
2025-01-30,META,147
2025-01-30,RMD,11
2025-01-30,ROP,6
2025-01-30,SCHW,88
2025-01-30,UHS,1
2025-01-31,ADBE,177
2025-01-31,APH,3
2025-01-31,APP,2
2025-01-31,BKR,12
2025-01-31,BSX,6
2025-01-31,CMI,20
2025-01-31,COST,233
2025-01-31,DASH,8
2025-01-31,EME,2
2025-01-31,GRMN,17
2025-01-31,INCY,5
2025-01-31,ISRG,2
2025-01-31,IVZ,13
2025-01-31,LULU,7
2025-01-31,MA,40
2025-01-31,MAS,0
2025-01-31,META,111
2025-01-31,RMD,21
2025-01-31,ROP,2
2025-01-31,SCHW,70
2025-01-31,UHS,0
2025-02-01,ADBE,57
2025-02-01,APH,0
2025-02-01,APP,3
2025-02-01,BKR,3
2025-02-01,BSX,4
2025-02-01,CMI,7
2025-02-01,COST,104
2025-02-01,DASH,10
2025-02-01,EME,0
2025-02-01,GRMN,3
2025-02-01,INCY,0
2025-02-01,ISRG,4
2025-02-01,IVZ,28
2025-02-01,LULU,2
2025-02-01,MA,15
2025-02-01,MAS,1
2025-02-01,META,32
2025-02-01,RMD,3
2025-02-01,ROP,1
2025-02-01,SCHW,67
2025-02-01,UHS,0
2025-02-02,ADBE,84
2025-02-02,APH,1
2025-02-02,APP,3
2025-02-02,BKR,1
2025-02-02,BSX,2
2025-02-02,CMI,9
2025-02-02,COST,78
2025-02-02,DASH,6
2025-02-02,EME,0
2025-02-02,GRMN,8
2025-02-02,INCY,1
2025-02-02,ISRG,8
2025-02-02,IVZ,19
2025-02-02,LULU,8
2025-02-02,MA,20
2025-02-02,MAS,0
2025-02-02,META,35
2025-02-02,RMD,1
2025-02-02,ROP,1
2025-02-02,SCHW,77
2025-02-02,UHS,0
2025-02-03,ADBE,103
