date,ticker,value
2024-11-03,ATI,1
2025-04-09,BACHY,1
2025-04-09,CHEF,1
2025-04-09,CLMT,2
2025-04-09,FIX,1
2025-04-09,GOLD,5
2025-04-10,BTU,2
2025-04-10,GOLD,2
2025-04-11,ARGT,1
2025-04-11,BACHY,1
2025-04-11,BTU,3
2025-04-11,GOLD,9
2025-04-14,ARGT,2
2025-04-14,BACHY,2
2025-04-14,BTU,1
2025-04-14,BXC,1
2025-04-14,GOLD,1
2025-04-15,BACHY,1
2025-04-15,BTU,4
2025-04-15,GAU,1
2025-04-15,GOLD,4
2025-04-16,ARGT,1
2025-04-16,BACHY,1
2025-04-16,BTU,1
2025-04-16,BXC,1
2025-04-16,CHEF,1
2025-04-16,GOLD,5
2025-04-17,ARGT,1
2025-04-17,CHEF,1
2025-04-17,GOLD,1
2025-04-18,GOLD,1
2025-04-19,CHEF,1
2025-04-20,GOLD,1
2025-04-21,CHEF,1
2025-04-21,GAU,1
2025-04-21,GOLD,2
2025-04-22,CHEF,1
2025-04-22,GOLD,6
2025-04-23,ARGT,1
2025-04-23,CHEF,1
2025-04-23,GOLD,5
2025-04-24,BTU,3
2025-04-24,BXC,2
2025-04-24,CLMT,1
2025-04-24,GOLD,3
2025-04-25,BTU,1
2025-04-27,BXC,1
2025-04-27,GOLD,1
2025-04-28,ARGT,1
2025-04-28,CLMT,1
2025-04-28,GOLD,1
2025-04-29,BTU,1
2025-04-29,BXC,6
2025-04-29,CLMT,1
2025-04-30,BACHY,1
2025-04-30,BTU,1
2025-04-30,BXC,3
2025-04-30,CHEF,9
2025-04-30,CLMT,1
2025-04-30,GAU,1
2025-04-30,GOLD,2
2025-05-01,BXC,4
2025-05-01,CHEF,5
2025-05-01,GOLD,3
2025-05-02,ARGT,1
2025-05-02,BXC,1
2025-05-02,CHEF,2
2025-05-02,GOLD,1
2025-05-05,BTU,10
2025-05-05,GAU,1
2025-05-06,BTU,10
2025-05-06,GOLD,2
2025-05-07,BACHY,3
2025-05-07,BTU,5
2025-05-07,BXC,1
2025-05-07,GOLD,6
2025-05-08,CLMT,1
2025-05-08,GOLD,4
2025-05-09,BTU,2
2025-05-09,BXC,1
2025-05-09,CHEF,1
2025-05-09,CLMT,7
2025-05-09,GAU,1
2025-05-09,GOLD,2
