ticker,primary_source,gdelt_rows,finnhub_backfill_rows,total_rows
AAPL,finnhub_backfill,0,5,5
ABBV,finnhub_backfill,0,39,39
ACN,finnhub_backfill,0,27,27
ADBE,gdelt,414,0,414
ADP,finnhub_backfill,0,51,51
AEM,finnhub_backfill,0,104,104
AMAT,finnhub_backfill,0,34,34
AMD,finnhub_backfill,0,10,10
AMZN,finnhub_backfill,0,5,5
ANET,finnhub_backfill,0,45,45
AOS,finnhub_backfill,0,125,125
APH,gdelt,414,0,414
APP,gdelt,414,0,414
APTV,finnhub_backfill,0,90,90
ARGT,finnhub_backfill,0,72,72
ARKK,finnhub_backfill,0,31,31
ATI,finnhub_backfill,0,99,99
AVGO,finnhub_backfill,0,12,12
B,finnhub_backfill,0,102,102
BACHY,finnhub_backfill,0,57,57
BBY,finnhub_backfill,0,77,77
BHP,finnhub_backfill,0,122,122
BKR,gdelt,414,0,414
BSX,gdelt,414,0,414
BTU,finnhub_backfill,0,116,116
BXC,finnhub_backfill,0,66,66
CBOE,finnhub_backfill,0,46,46
CHEF,finnhub_backfill,0,77,77
CL,finnhub_backfill,0,47,47
CLMT,finnhub_backfill,0,67,67
CMI,gdelt,414,0,414
COR,finnhub_backfill,0,93,93
COST,gdelt,414,0,414
CRM,finnhub_backfill,0,21,21
CRSP,finnhub_backfill,0,117,117
CSCO,finnhub_backfill,0,35,35
CTVA,finnhub_backfill,0,100,100
CVS,finnhub_backfill,0,46,46
DAL,finnhub_backfill,0,18,18
DASH,gdelt,414,0,414
DDOG,finnhub_backfill,0,44,44
DECK,finnhub_backfill,0,62,62
DELL,finnhub_backfill,0,18,18
DG,finnhub_backfill,0,35,35
DHI,finnhub_backfill,0,65,65
DIS,finnhub_backfill,0,22,22
DXCM,finnhub_backfill,0,90,90
EBAY,finnhub_backfill,0,37,37
EEM,finnhub_backfill,0,132,132
EFX,finnhub_backfill,0,87,87
EME,gdelt,414,0,414
EPAM,finnhub_backfill,0,90,90
EXPE,finnhub_backfill,0,49,49
FFIV,finnhub_backfill,0,97,97
FIX,finnhub_backfill,0,55,55
FNV,finnhub_backfill,0,139,139
FSLR,finnhub_backfill,0,49,49
GAU,finnhub_backfill,0,104,104
GOLD,finnhub_backfill,0,59,59
GOOGL,finnhub_backfill,0,5,5
GRMN,gdelt,414,0,414
INCY,gdelt,414,0,414
ISRG,gdelt,414,0,414
IVZ,gdelt,414,0,414
LULU,gdelt,414,0,414
MA,gdelt,414,0,414
MAS,gdelt,414,0,414
META,gdelt,414,0,414
RMD,gdelt,414,0,414
ROP,gdelt,414,0,414
SCHW,gdelt,414,0,414
UHS,gdelt,414,0,414
