date,ticker,value
2025-01-19,AAPL,12925
2025-01-20,AAPL,14496
2025-01-21,AAPL,11174
2025-01-22,AAPL,10218
2025-01-23,AAPL,10928
2025-01-24,AAPL,10203
2025-01-25,AAPL,10915
2025-01-26,AAPL,11715
2025-01-27,AAPL,10667
2025-01-28,AAPL,9909
2025-01-29,AAPL,9693
2025-01-30,AAPL,9153
2025-01-31,AAPL,9124
2025-02-01,AAPL,7586
2025-02-02,AAPL,7964
2025-02-03,AAPL,8955
2025-02-04,AAPL,8708
2025-02-05,AAPL,8905
2025-02-06,AAPL,9155
2025-02-07,AAPL,10212
2025-02-08,AAPL,10113
2025-02-09,AAPL,8730
2025-02-10,AAPL,9360
2025-02-11,AAPL,9866
2025-02-12,AAPL,10599
2025-02-13,AAPL,12184
2025-02-14,AAPL,12207
2025-02-15,AAPL,14819
2025-02-16,AAPL,13449
2025-02-17,AAPL,10359
2025-02-18,AAPL,8460
2025-02-19,AAPL,9371
2025-02-20,AAPL,10019
2025-02-21,AAPL,10819
2025-02-22,AAPL,18772
2025-02-23,AAPL,15801
2025-02-24,AAPL,14059
2025-02-25,AAPL,12162
2025-02-26,AAPL,11703
2025-02-27,AAPL,10429
2025-02-28,AAPL,9619
2025-03-01,AAPL,8365
2025-03-02,AAPL,9348
2025-03-03,AAPL,9340
2025-03-04,AAPL,12763
2025-03-05,AAPL,12198
2025-03-06,AAPL,13160
2025-03-07,AAPL,15356
2025-03-08,AAPL,11669
2025-03-09,AAPL,11643
2025-03-10,AAPL,10918
2025-03-11,AAPL,9639
2025-03-12,AAPL,8707
2025-03-13,AAPL,9878
2025-03-14,AAPL,8099
2025-03-15,AAPL,7075
2025-03-16,AAPL,7428
2025-03-17,AAPL,8457
2025-03-18,AAPL,9208
2025-03-19,AAPL,8978
2025-03-20,AAPL,8736
2025-03-21,AAPL,8051
2025-03-22,AAPL,7350
2025-03-23,AAPL,7095
2025-03-24,AAPL,7774
2025-03-25,AAPL,8572
2025-03-26,AAPL,8268
2025-03-27,AAPL,8043
2025-03-28,AAPL,7842
2025-03-29,AAPL,6708
2025-03-30,AAPL,6654
2025-03-31,AAPL,7564
2025-04-01,AAPL,8736
2025-04-02,AAPL,8074
2025-04-03,AAPL,8584
2025-04-04,AAPL,8904
2025-04-05,AAPL,7367
2025-04-06,AAPL,7252
2025-04-07,AAPL,8903
2025-04-08,AAPL,9447
2025-04-09,AAPL,9956
2025-04-10,AAPL,9147
2025-04-11,AAPL,11766
2025-04-12,AAPL,8767
2025-04-13,AAPL,9236
2025-04-14,AAPL,9419
2025-04-15,AAPL,9270
2025-04-16,AAPL,9259
2025-04-17,AAPL,8544
2025-04-18,AAPL,8197
2025-04-19,AAPL,7806
2025-04-20,AAPL,7349
2025-04-21,AAPL,7827
2025-04-22,AAPL,8748
2025-04-23,AAPL,8937
2025-04-24,AAPL,8428
2025-04-25,AAPL,8210
2025-04-26,AAPL,8092
2025-04-27,AAPL,7877
