as_of_date,ticker,value_score,quality_score,growth_score,alt_momentum_score,peer_relative_score,proxy_inferred_score,pead_score,risk_penalty,liquidity_penalty,final_alpha_score,confidence,fundamental_confidence,value_confidence,alt_confidence,peer_confidence,proxy_confidence,structural_anomaly_penalty,valuation_context_strength,valuation_method_strength,strongest_drivers,revenue_cagr_3y,fcf_cagr_3y,roic,fcf_margin,asset_turnover,debt_to_ebitda,valuation_score_raw,nowcast_source_mix,nowcast_direct_source_count,nowcast_proxy_source_count,nowcast_proxy_share,expected_kpi_surprise,probability_post_earnings_outperform,deviation_vs_consensus,expected_stock_reaction,historical_backtest,pead_raw,next_earnings_date,days_to_earnings,gate_confidence,gate_leverage,gate_event_risk,eligible,gate_reason
2026-04-02,NVDA,0.291957888191389,0.8866514659051822,1,0,0,0,0,0,0,0.48859168461353814,0.6395652173913045,1,0.9840000000000001,0,0,0,0,1,0.92,growth(1.00); quality(0.89); value(0.29),1.000451,1.939052,0.701692,0.447703,1.044172,0.082864,0.307692,none,,,,,,,,No setup history in nowcast output,,,,true,true,true,true,
2026-04-02,DECK,0.6611735997332728,1,0.46273400000000003,0,0,0,0,0,0,0.4379188399733273,0.5575869565217392,0.86016,0.915016,0,0,0,0.16,0.78,0.92,quality(1.00); value(0.66); growth(0.46),0.165343,0.991492,1.017045,0.192224,1.396431,0.222021,0.668703,none,,,,,,,,No setup history in nowcast output,,2026-07-22,111,false,true,true,false,LOW_CONFIDENCE
2026-04-02,APP,0.1233766765053008,0.8507456143174515,0.548512,0.007573167845591563,0.007573167845591563,0,0,0,0,0.36460491547763996,0.6830240362318841,0.72864,0.9568640000000002,0.4168833333333334,0.53165,0.7208660000000001,0.32,1,0.92,quality(0.85); growth(0.55); value(0.12),0.248381,1.122899,1.129598,0.719391,0.755,0.815503,0.142857,hybrid,1,2,0.6667000000000001,-0.4316,0.28600000000000003,-0.4316,Likely negative post-earnings drift,Insufficient historical setups (need outcomes + historical alt data).,,,,true,true,true,true,
2026-04-02,ANET,0.1312404247180853,0.544298301063591,0.5554052,0,0,0,0,0,0,0.28227372775897813,0.6045570652173913,0.9465849999999999,0.9236585,0,0,0,0.06,0.78,0.92,growth(0.56); quality(0.54); value(0.13),0.271465,1.117048,0.306069,0.47219,0.4631,0,0.150546,none,,,,,,,,No setup history in nowcast output,,,,true,true,true,true,
2026-04-02,PLTR,0.0056822714358474025,0.47338006465539484,0.6328168,0.08064897841121249,0.08064897841121249,0.05999804566626489,0,0,0,0.29256262885664575,0.830520231884058,0.9465849999999999,0.9786585000000001,0.5068833333333334,0.60165,0.8036660000000001,0.06,1,0.92,growth(0.63); quality(0.47); alt_momentum(0.08),0.329171,1.252871,0.225135,0.469359,0.502837,0.159245,0.027778,hybrid,1,2,0.6667000000000001,-0.3411,0.3797,-0.3411,Mixed / neutral expected reaction,Insufficient historical setups (need outcomes + historical alt data).,,,,true,true,true,true,
2026-04-02,NEM,0.6112440656263487,0.3138766091802123,0.44982160000000004,0.5562071051039996,0.5562071051039996,0.4878017002703494,0,0,0,0.4229077553389201,0.8535718623188406,1,0.929,0.5068833333333334,0.60165,0.8036660000000001,0,0.78,0.92,value(0.61); alt_momentum(0.56); peer_relative(0.56),0.239118,0.885436,0.225249,0.321982,0.396859,0.412655,0.619883,hybrid,1,2,0.6667000000000001,0.4772,0.8748,0.4772,Likely positive post-earnings drift,Insufficient historical setups (need outcomes + historical alt data).,,2026-07-22,111,true,true,true,true,
2026-04-02,IBKR,0.40340956740691647,0.7619824886199391,0.3753544,0,0,0,0,0,0,0.3286541966680752,0.39508491847826094,0.55415625,0.9194156250000001,0,0,0,0.55,1,0.82,quality(0.76); value(0.40); growth(0.38),0.345979,0.592407,19.15121,1.540207,0.050295,0.002139,0.416667,none,,,,,,,,No setup history in nowcast output,,2026-07-15,104,false,true,true,false,LOW_CONFIDENCE
2026-04-02,FIX,0.18181836776855279,0.7663514106934924,0.3589588,1,1,1,0,0,0,0.6340676536640981,0.9131545289855073,1,0.9840000000000001,0.7154166666666667,0.77125,0.8268500000000001,0,1,0.92,alt_momentum(1.00); peer_relative(1.00); proxy_inferred(1.00),0.300251,0.597146,0.532387,0.113326,1.413042,0.332302,0.2,hybrid,2,2,0.5,1.9344999999999999,0.99,1.9345,Likely positive post-earnings drift,Insufficient historical setups (need outcomes + historical alt data).,,2026-07-22,111,true,true,true,true,
2026-04-02,RMD,0.3352274238119491,0.4087134438320431,0.466616,0,0,0,0,0,0,0.24653089221584656,0.6395652173913045,1,0.9840000000000001,0,0,0,0,1,0.92,growth(0.47); quality(0.41); value(0.34),0.128792,1.037748,0.251144,0.320801,0.629567,0.442913,0.35,none,,,,,,,,No setup history in nowcast output,,2026-07-29,118,true,true,true,true,
2026-04-02,UBER,0.7954545919421383,0.25831950912340995,0.6709224,0,0,0,0,0.04138150000000001,0,0.2555131546575345,0.6395652173913045,1,0.9840000000000001,0,0,0,0,1,0.92,value(0.80); growth(0.67); quality(0.26),0.177306,1.925317,0.137317,0.187689,0.841672,1.913815,0.8,none,,,,,,,,No setup history in nowcast output,,,,true,true,true,true,
