as_of_date,opened_date,closed_date,status,close_reason,symbol,entry_price,last_price,days_open,expected_alpha_20d_pct,expected_alpha_90d_pct,expected_alpha_to_date_pct,realized_return_pct,alpha_vs_expected_pct,source_file
2026-04-04,2026-03-08,,OPEN,,PLTR,157.1600,148.4600,27,1.09,2.53,1.2340,-5.5358,-6.7698,2026-03-07-final-top5.csv
2026-04-04,2026-03-08,,OPEN,,APP,502.1400,386.3700,27,0.96,2.23,1.0870,-23.0553,-24.1423,2026-03-07-final-top5.csv
2026-04-04,2026-03-08,,OPEN,,NEM,116.2900,114.0500,27,0.84,1.96,0.9520,-1.9262,-2.8782,2026-03-07-final-top5.csv
2026-04-04,2026-03-08,,OPEN,,FIX,1279.0600,1417.1900,27,0.77,1.8,0.8730,10.7993,9.9263,2026-03-07-final-top5.csv
2026-04-04,2026-03-08,,OPEN,,TTD,29.2800,22.0500,27,0.49,1.15,0.5560,-24.6926,-25.2486,2026-03-07-final-top5.csv
2026-04-04,2026-03-16,,OPEN,,NVDA,180.2500,177.3900,19,2.26,5.27,2.1470,-1.5867,-3.7337,2026-03-16-final-top5.csv
2026-04-04,2026-03-25,,OPEN,,LULU,160.9500,155.7200,10,0.98,2.29,0.4900,-3.2495,-3.7395,2026-03-25-final-top5.csv
2026-04-04,2026-03-25,,OPEN,,INCY,90.6200,95.9300,10,0.95,2.23,0.4750,5.8596,5.3846,2026-03-25-final-top5.csv
2026-04-04,2026-03-25,,OPEN,,AOS,65.4500,64.3500,10,0.92,2.15,0.4600,-1.6807,-2.1407,2026-03-25-final-top5.csv
2026-04-04,2026-04-01,,OPEN,,LRCX,222.0100,218.4400,3,1.19,2.78,0.1785,-1.6080,-1.7865,2026-04-01-final-top5.csv
