company,ticker,strongest_drivers,confidence_score,source_mix,direct_source_count,proxy_source_count,proxy_share,website_traffic_yoy,app_rank_yoy,search_trends_yoy,news_mentions_yoy,price_promo_yoy,foot_traffic_yoy,market_price_proxy_yoy,market_volume_proxy_yoy,expected_kpi_surprise,expected_stock_reaction,probability_post_earnings_outperform,deviation_vs_consensus,historical_backtest,report_date
FIX,FIX,yoy_mean (43.31%); relative_strength_mean (34.52%); market_price_proxy_yoy (25.33%),0.719,hybrid,1,2,66.67%,,,2.94%,,,,316.57%,-83.29%,91.93%,Likely positive post-earnings drift,97.14%,0.9193,Insufficient historical setups (need outcomes + historical alt data).,
TTD,TTD,yoy_mean (-28.39%); relative_strength_mean (-10.73%); search_trends_yoy (-9.24%),0.719,hybrid,1,2,66.67%,,,-61.62%,,,,-47.66%,-45.58%,-56.35%,Likely negative post-earnings drift,25.85%,-0.5635,Insufficient historical setups (need outcomes + historical alt data).,
GAU,GAU,accel_mean (-95.55%); yoy_mean (21.31%); market_price_proxy_yoy (8.54%),0.370,proxy_only,0,2,100.00%,,,,,,,106.80%,-29.32%,-67.46%,Likely negative post-earnings drift,1.00%,-0.6746,Insufficient historical setups (need outcomes + historical alt data).,
AMZN,AMZN,yoy_mean (-16.38%); accel_mean (-8.34%); search_trends_yoy (-5.72%),0.719,hybrid,1,2,66.67%,,,-38.16%,,,,10.81%,-62.01%,-33.95%,Mixed / neutral expected reaction,37.15%,-0.3395,Insufficient historical setups (need outcomes + historical alt data).,
SNAP,SNAP,yoy_mean (-22.77%); accel_mean (-12.29%); search_trends_yoy (-4.31%),0.519,hybrid,1,2,66.67%,,,-28.71%,,,,-46.28%,-49.23%,-46.03%,Likely negative post-earnings drift,24.10%,-0.4603,Insufficient historical setups (need outcomes + historical alt data).,
AAPL,AAPL,yoy_mean (-14.59%); accel_mean (-5.01%); market_volume_proxy_yoy (-4.58%),0.719,hybrid,1,2,66.67%,,,-22.87%,,,,19.63%,-76.34%,-30.54%,Mixed / neutral expected reaction,39.34%,-0.3054,Insufficient historical setups (need outcomes + historical alt data).,
APP,APP,yoy_mean (-17.55%); news_mentions_yoy (-12.00%); search_trends_yoy (-8.17%),0.575,hybrid,2,2,50.00%,,,-54.44%,-66.67%,,,67.50%,-74.01%,-35.27%,Mixed / neutral expected reaction,44.16%,-0.3527,Insufficient historical setups (need outcomes + historical alt data).,
GOLD,GOLD,accel_mean (-20.27%); search_trends_yoy (-11.71%); yoy_mean (-8.51%),0.519,hybrid,1,2,66.67%,,,-78.04%,,,,66.05%,-34.43%,-37.27%,Likely negative post-earnings drift,21.19%,-0.3727,Insufficient historical setups (need outcomes + historical alt data).,
FNV,FNV,yoy_mean (-17.92%); search_trends_yoy (-13.28%); market_price_proxy_yoy (5.23%),0.519,hybrid,1,2,66.67%,,,-88.53%,,,,65.40%,-74.59%,-35.33%,Mixed / neutral expected reaction,35.93%,-0.3533,Insufficient historical setups (need outcomes + historical alt data).,
SEELQ,SEELQ,yoy_mean (-44.00%); market_price_proxy_yoy (-6.40%); accel_mean (-2.67%),0.325,proxy_only,0,1,100.00%,,,,,,,-80.00%,,-53.07%,Likely negative post-earnings drift,25.68%,-0.5307,Insufficient historical setups (need outcomes + historical alt data).,
TSM,TSM,yoy_mean (8.60%); market_price_proxy_yoy (7.90%); relative_strength_mean (7.44%),0.719,hybrid,1,2,66.67%,,,-14.72%,,,,98.80%,-37.20%,22.47%,Likely positive post-earnings drift,81.79%,0.2247,Insufficient historical setups (need outcomes + historical alt data).,
JNPR,JNPR,yoy_mean (-26.81%); search_trends_yoy (-7.31%); accel_mean (-4.15%),0.406,direct,1,0,0.00%,,,-48.74%,,,,,,-38.27%,Likely negative post-earnings drift,32.69%,-0.3827,Insufficient historical setups (need outcomes + historical alt data).,
ATI,ATI,yoy_mean (35.12%); market_price_proxy_yoy (15.43%); accel_mean (-5.33%),0.370,proxy_only,0,2,100.00%,,,,,,,192.84%,-65.14%,41.31%,Likely positive post-earnings drift,71.89%,0.4131,Insufficient historical setups (need outcomes + historical alt data).,
JCI,JCI,yoy_mean (-12.32%); accel_mean (-9.50%); search_trends_yoy (-7.71%),0.519,hybrid,1,2,66.67%,,,-51.39%,,,,61.19%,-77.02%,-29.25%,Likely negative post-earnings drift,34.25%,-0.2925,Insufficient historical setups (need outcomes + historical alt data).,
QCOM,QCOM,yoy_mean (-15.17%); search_trends_yoy (-5.42%); accel_mean (-5.22%),0.519,hybrid,1,2,66.67%,,,-36.15%,,,,-15.83%,-30.75%,-28.92%,Mixed / neutral expected reaction,38.88%,-0.2892,Insufficient historical setups (need outcomes + historical alt data).,
SNOW,SNOW,yoy_mean (-16.96%); search_trends_yoy (-6.61%); market_volume_proxy_yoy (-3.68%),0.519,hybrid,1,2,66.67%,,,-44.09%,,,,12.98%,-61.41%,-28.88%,Mixed / neutral expected reaction,41.67%,-0.2888,Insufficient historical setups (need outcomes + historical alt data).,
