symbol,shares,price,average_cost,gain_pct,action,trim_pct,shares_to_trim,est_cash_out,reason
ARGT,8.000,86.57,73.51,17.77%,HOLD,0.0%,0.000,0.00,No trim threshold hit
AVGO,2.000,333.95,191.63,74.27%,TRIM,10.0%,0.200,66.79,Gain 74.27% reached threshold; trim 10.00%
XME,5.000,112.69,23.75,374.48%,TRIM,20.0%,1.000,112.69,Gain 374.48% reached threshold; trim 20.00%
RTX,2.000,204.13,63.77,220.10%,TRIM,20.0%,0.400,81.65,Gain 220.10% reached threshold; trim 20.00%
FSLR,2.000,193.53,129.84,49.05%,TRIM,10.0%,0.200,38.71,Gain 49.05% reached threshold; trim 10.00%
ARKK,5.000,74.50,53.80,38.48%,TRIM,10.0%,0.500,37.25,Gain 38.48% reached threshold; trim 10.00%
TSM,1.000,354.11,86.32,310.23%,TRIM,20.0%,0.200,70.82,Gain 310.23% reached threshold; trim 20.00%
MO,5.000,67.07,46.16,45.30%,TRIM,10.0%,0.500,33.53,Gain 45.30% reached threshold; trim 10.00%
CVS,4.000,78.56,58.02,35.40%,TRIM,10.0%,0.400,31.42,Gain 35.40% reached threshold; trim 10.00%
ATI,2.000,155.07,18.68,730.14%,TRIM,20.0%,0.400,62.03,Gain 730.14% reached threshold; trim 20.00%
XOM,2.000,151.21,117.50,28.69%,TRIM,10.0%,0.200,30.24,Gain 28.69% reached threshold; trim 10.00%
LLY,0.291,984.01,859.96,14.43%,HOLD,0.0%,0.000,0.00,No trim threshold hit
ANET,2.000,140.19,139.98,0.15%,HOLD,0.0%,0.000,0.00,No trim threshold hit
INDA,5.000,50.66,52.05,-2.67%,HOLD,0.0%,0.000,0.00,No trim threshold hit
EEM,4.000,58.71,44.49,31.96%,TRIM,10.0%,0.400,23.48,Gain 31.96% reached threshold; trim 10.00%
TTWO,1.000,212.62,172.07,23.57%,TRIM,10.0%,0.100,21.26,Gain 23.57% reached threshold; trim 10.00%
CRSP,3.586,57.83,46.14,25.34%,TRIM,10.0%,0.358,20.70,Gain 25.34% reached threshold; trim 10.00%
CLMT,5.000,30.19,4.16,625.72%,TRIM,20.0%,1.000,30.19,Gain 625.72% reached threshold; trim 20.00%
BHP,2.000,73.79,51.50,43.28%,TRIM,10.0%,0.200,14.76,Gain 43.28% reached threshold; trim 10.00%
B,3.000,45.63,28.42,60.56%,TRIM,10.0%,0.300,13.69,Gain 60.56% reached threshold; trim 10.00%
CHEF,2.000,63.22,24.69,156.06%,TRIM,20.0%,0.400,25.29,Gain 156.06% reached threshold; trim 20.00%
MRK,1.000,115.65,100.01,15.64%,HOLD,0.0%,0.000,0.00,No trim threshold hit
TQQQ,2.000,49.78,13.54,267.65%,TRIM,20.0%,0.400,19.91,Gain 267.65% reached threshold; trim 20.00%
EBAY,1.000,92.44,74.67,23.80%,TRIM,10.0%,0.100,9.24,Gain 23.80% reached threshold; trim 10.00%
GAU,25.000,3.10,1.32,134.85%,TRIM,20.0%,5.000,15.50,Gain 134.85% reached threshold; trim 20.00%
KO,1.000,77.08,49.60,55.40%,TRIM,10.0%,0.100,7.71,Gain 55.40% reached threshold; trim 10.00%
UBER,1.000,75.82,44.73,69.51%,TRIM,10.0%,0.100,7.58,Gain 69.51% reached threshold; trim 10.00%
LIT,1.000,70.84,41.87,69.19%,TRIM,10.0%,0.100,7.08,Gain 69.19% reached threshold; trim 10.00%
MTX,1.000,70.16,52.75,33.00%,TRIM,10.0%,0.100,7.02,Gain 33.00% reached threshold; trim 10.00%
BTU,2.000,33.90,19.15,77.02%,TRIM,15.0%,0.300,10.17,Gain 77.02% reached threshold; trim 15.00%
BXC,1.000,62.15,51.00,21.86%,TRIM,10.0%,0.100,6.21,Gain 21.86% reached threshold; trim 10.00%
DAL,1.000,61.52,32.35,90.17%,TRIM,15.0%,0.150,9.23,Gain 90.17% reached threshold; trim 15.00%
WOR,1.000,52.13,20.62,152.81%,TRIM,20.0%,0.200,10.43,Gain 152.81% reached threshold; trim 20.00%
INTC,1.000,46.00,43.91,4.76%,HOLD,0.0%,0.000,0.00,No trim threshold hit
WS,1.000,38.47,20.62,86.57%,TRIM,15.0%,0.150,5.77,Gain 86.57% reached threshold; trim 15.00%
XOVR,2.000,17.84,19.16,-6.89%,HOLD,0.0%,0.000,0.00,No trim threshold hit
OTGLY,2.000,16.76,5.19,222.93%,TRIM,20.0%,0.400,6.70,Gain 222.93% reached threshold; trim 20.00%
BACHY,2.000,14.13,9.58,47.49%,TRIM,10.0%,0.200,2.83,Gain 47.49% reached threshold; trim 10.00%
HPE,1.000,21.50,16.99,26.55%,TRIM,10.0%,0.100,2.15,Gain 26.55% reached threshold; trim 10.00%
ABBV,0.062,231.60,162.49,42.53%,TRIM,10.0%,0.006,1.39,Gain 42.53% reached threshold; trim 10.00%
SEELQ,0.003,0.00,8780.80,-100.00%,HOLD,0.0%,0.000,0.00,No trim threshold hit
IBKR,5.000,68.10,68.20,-0.15%,HOLD,0.0%,0.000,0.00,No trim threshold hit
